Ms. Mizinga Melu,Bankers Association of Zambia - Financial Services,Chairperson
Mr. Yousuf Zumla,Tourism Council of Zambia - Tourism,Chairman
Mr. Jervis Zimba,Zambia National Farmer Union - Agriculture,President
Mr. Ashu Sagar,Zambia Association of Manufacturers - Manufacturing,President 
Dr. Godwin Beene,Chamber of Mines - Mining,President
Mr. Sylvester Hibajene,Association of Power Companies in Zambia - Energy,Chairman
Mr. Hussam Baday,"Airtel - ICT - Digitalisation & Media",CEO
