Mutale Mukuka,CEC,,PRIVATE SECTOR
Katai Kachasa,Lufubu Hydro Power,,PRIVATE SECTOR
Mabvuto Nyirenda,Ndola Energy,,ENERGY
Aaron Sr. Nyirenda,Ndola Energy,,ENERGY
Ms. Mara Myra Ngoma ,Zambia Federation of Employers,PRESIDENT, MINNING
Mr. Che Jiajun,,,CHINESE SOCIETY
Luo Zibing,,,CHINESE SOCIETY

